comercializadora;tarifa;kwh_anuales;coste_energia_anual;coste_potencia_anual;coste_total_anual;coste_medio_eur_kwh;ref_mediana_coste_total_anual;ref_peor_coste_total_anual;ahorro_vs_mediana_eur_anual;ahorro_vs_peor_eur_anual;ahorro_vs_mediana_pct_anual;ahorro_vs_peor_pct_anual;pct_coste_energia_anual;pct_coste_potencia_anual;kwh_punta_LV;kwh_llano_LV;kwh_valle_LV;kwh_valle_SD;pct_kwh_punta_LV;pct_kwh_llano_LV;pct_kwh_valle_LV;pct_kwh_valle_SD
Xekiwi;Lorenzo;3593,879;562,6329;225,5349;788,1678;0,2193;711,9817;953,7403;-76,186;165,5725;-10,7006;17,3603;71,3849;28,6151;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Contigo Energíaa;A tu Aire Programa tu Ahorro;3593,879;607,6874;180,5414;788,2288;0,2193;711,9817;953,7403;-76,2471;165,5115;-10,7091;17,3539;77,0953;22,9047;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Esuabanellpower;Plan Vehículo Eléctrico;3593,879;572,9459;217,17;790,116;0,2199;711,9817;953,7403;-78,1342;163,6243;-10,9742;17,1561;72,5142;27,4858;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Ibertrola;Plan Online 3 Periodos;3593,879;572,6515;219,9397;792,5912;0,2205;711,9817;953,7403;-80,6094;161,1491;-11,3218;16,8965;72,2505;27,7495;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Energía VMnova;Tarifa fija;3593,879;606,9032;188,4772;795,3804;0,2213;711,9817;953,7403;-83,3986;158,3599;-11,7136;16,6041;76,3035;23,6965;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
EnergiaNufro;Sin horarios;3593,879;575,5162;225,35;800,8662;0,2228;711,9817;953,7403;-88,8845;152,8741;-12,4841;16,0289;71,8617;28,1383;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
EnergiaNufro;Indexada;3593,879;557,7794;244,3456;802,125;0,2232;711,9817;953,7403;-90,1433;151,6153;-12,6609;15,8969;69,5377;30,4623;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Pulpus;CC Grinch SEP 2025;3593,879;620,8454;185,8959;806,7413;0,2245;711,9817;953,7403;-94,7596;146,999;-13,3093;15,4129;76,9572;23,0428;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Reqsolnova;Mis 10h descuento;3593,879;618,7248;188,9806;807,7055;0,2247;711,9817;953,7403;-95,7237;146,0348;-13,4447;15,3118;76,6028;23,3972;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
Pulpus;4 Estaciones Siempre;3593,879;589,4341;223,6;813,0341;0,2262;711,9817;953,7403;-101,0523;140,7062;-14,1931;14,7531;72,4981;27,5019;946,742;877,293;723,276;1046,568;26,3432;24,4108;20,1252;29,1208
